,funding_agency_name,Country
5160,Invertis University,India
5165,Ratchadapisek-Sompot Fund Chulalongkorn University,Thailand
5166,"SCG Chemicals Co., Ltd.",Thailand
5167,"Austrian Agency for International Mobility and Cooperation in Education, Science, and Research",Austria
5168,"Department of Veterinary Medicine, Faculty of Veterinary Science, Chulalongkorn University",Thailand
5170,Department of Medical Services Fund,Thailand
5172,Royal Society-Newton Mobility,United Kingdom
5173,C2F Fund-Chulalongkorn Academic Advancement,Thailand
5174,U.S. National Science Foundation-EPSCoR,The United States
5175,U.S. National Science Foundation-Physics Division,The United States
5176,Villum Fonden and Carlsberg Foundation,Denmark
5177,Janssen Biopharma,Belgium
5178,Janssen Global Services,United States
5179,"Siriraj Hospital, Mahidol University",Thailand
5180,Australian Red Cross Lifeblood,Australia
5181,GSK ViiV,United Kingdom
5182,Thailand Convention and Exhibition Bureau,Thailand
5183,Institut de Systématique,France
5185,Sud Expert Plantes,France
5186,Chulalongkorn University-One Health Research Cluster,Thailand
5188,Department of Biotechnology,India
5189,Thammasat University-Fast Track,Thailand
5190,SSL-VIT,India
5192,Emili Sagol Creative Arts Therapies Research Center,Israel
5193,"Department of Civil and Environmental Engineering, Faculty of Engineering, Srinakharinwirot University",Thailand
5194,Chula-longkorn University Thailand,Thailand
5195,"Office of the Ministry of Higher Education, Science, Research and Innovation, Thailand Science Research and Innovation",Thailand
5197,Air Pollution and Health Effect Research Center,Iran
5198,United States President's Emergency Plan for AIDS Relief,United States
5203,Radchadapesek Sompoch Endowment Fund,Thailand
5209,AFFiRis,Austria
5211,Johns Hopkins Press,United States
5212,Vinythai Public Company Limited,Thailand
5213,NIPPON,Japan
5217,"Health Systems Research Institute, Thailand",Thailand
5218,Aeon Biopharma,United States
5219,Biohaven Pharmaceuticals Inc.,United States
5221,University of Manchester Research Institute,United Kingdom
5223,SERB-TARE,India
5224,Thaksin University for the Human Resources Development Fund,Thailand
5225,Australian Centre for Health Services Innovation,Australia
5226,Australian University Librarians,Australia
5227,Queensland Children's Hospital Foundation,Australia
5228,"TRF Institute Fund for the Pediatric Department, Faculty of Medicine, Chula-longkorn University",Thailand
5229,Ratchasapisek Sompoch Fund,Thailand
5230,Department of Psychology at Aberystwyth University,United Kingdom
5231,JASTIP,Japan
5233,Innovation Fund Chulalongkorn University,Thailand
5235,Giles-O’Malley Foundation,United States
5238,"Ministry of Education, Culture, Research and Technology of Indonesia",Indonesia
5239,Riset ITB,Indonesia
5241,Program for Huazhong University of Science and Technology,China
5242,University of Phayao and Chiang Mai University,Thailand
5243,Philippine Foundation for Vaccination Inc.,Philippines
5244,US Department of,United States
5245,Universidad Michoacana,Mexico
5248,Chulalongkorn University Health Service Center,Thailand
5249,"National Vaccine Institute, Thailand and Baiya Phytopharm Co., Ltd.",Thailand
5250,National Metal and Materials Technology Center of Thailand,Thailand
5251,Harvard Law School Brooks McCormack Animal Law & Policy Program,United States
5252,Philippine College of Poultry Practitioners,Philippines
5253,Tiny Beam Fund,United States
5254,Ho Chi Minh City Department of Science and Technology,Vietnam
5255,Vietnam Atomic Energy Institute,Vietnam
5256,Japan Agency for Medical Research,Japan
5257,JHU ReVision,United States
5260,DLR-PT,Germany
5261,"Kowa Pharmaceuticals America, Inc.",United States
5262,"National Institute of Heart, Lung, and Blood Institute",United States
5264,DENFREE Thailand,Thailand
5265,Genentech and Roche,Switzerland
5266,Newton Fund Research,United Kingdom
5269,National Research Council of Thailand and Biosense Webster,Thailand
5270,Ministry of Digital Economy and Society,Thailand
5271,National Digital Economy and Society Commission,Thailand
5273,"Faculty of Agricultural Technology, Universitas Gadjah Mada",Indonesia
5274,"Ministry of Education, Culture, Research, and Technology of the Republic of Indonesia",Indonesia
5275,"Czech Ministry of Education, Youth, and Sports",Czech Republic
5277,"Department of Anti?Aging and Regenerative Science, School of Anti?Aging and Regenerative Medicine, Mae Fah Luang University",Thailand
5278,"Department of Anti‐Aging and Regenerative Science, School of Anti‐Aging and Regenerative Medicine, Mae Fah Luang University",Thailand
5282,"King Chulalongkorn Memorial Hospital and Center of Excellence for Innovation and Endoscopy in Gastrointestinal Oncology, Faculty of Medicine, Chulalongkorn University",Thailand
5283,European Union-Spain,Spain
5284,Instituto de Investigaci?n en Recursos Cineg?ticos,Spain
5285,"Seneca Foundation of Murcia Region , Spain",Spain
5286,University of Murcia Spain,Spain
5287,His Royal Highness Crown Prince Maha Vajiralongkorn Scholarship,Thailand
5288,Thanawat Quality Starch Company Limited,Thailand
5290,National Primate Research Center of Thailand‐Chulalongkorn University,Thailand
5291,Chum Phae Hospital,Thailand
5293,Chulalongkorn University-Faculty of Veterinary Science Research Fund,Thailand
5294,"Center of Excellence in Infrastructure Management, Chulalongkorn University",Thailand
5295,Brazilian Research Council,Brazil
5297,National Nanotechnology Platform,United States
5298,Anwill (Thailand) Co. Ltd,Thailand
5299,"Ministry of Higher Education, Science, Research and Innovation, Thailand for Electron Processing System",Thailand
5302,Dengue Expert Advisory Group Pakistan,Pakistan
5303,Foundation Merieux,France
5304,Global Dengue and Aedes transmitted Diseases Consortium,United Kingdom
5305,Indonesian Paediatric Society,Indonesia
5306,Paediatric Infectious Disease Society of Philippines,Philippines
5307,Sanofi Pasteur and Takeda,France
5310,Thailand Science Research and In novation Fund Chulalongkorn University CU_FRB65_hea,Thailand
5311,APHP,France
5312,Fondation des Gueules Cassées,France
5313,Région Ile-de-France,France
5314,National University of Singapore STEM for University Educators Programme,Singapore
5315,Far Eastern Memorial Hospital National Yang Ming Chiao Tung University Joint Research Program,Taiwan
5316,Chiang Dao District Public Health Office,Thailand
5319,Data Management Center of King Chulalongkorn Memorial Hospital,Thailand
5320,"Biostatistics Excellence Center, Research Affairs, Faculty of Medicine, Chulalongkorn University",Thailand
5321,Thai Orthopedic Society for Sports Medicine,Thailand
5322,Kaiser Permanente Research Program on Genes,United States
5323,Million Veteran Program,United States
5324,Chulalongkorn University on Center of Excellence in Natural Products for Ageing and Chronic Diseases,Thailand
5325,Siriraj research fund,Thailand
5330,CNRS-UMR,France
5332,National Research Council of Thailand and Innovation Fund Chulalongkorn University,Thailand
5333,Graduate School of CU,Thailand
5335,Showa Denko Materials,Japan
5339,Faculty of Medicine Vajira Hospital,Thailand
5340,Navamindradhiraj University Research Fund,Thailand
5341,"Thailand Science research and Innovation Fund Chulalongkorn University, Thailand",Thailand
5342,"Mahidol University, Thailand",Thailand
5343,Shanghai Sailing Program,China
5345,"Department of Clinical Epidemiology and Biostatistics, Faculty of Medicine, Ramathibodi Hospital, Mahidol University",Thailand
5347,"University of Iowa Hospitals and Clinics, Iowa City",United States
5348,"Burapha University and Center of Excellence in Catalysis and Catalytic Reaction Engineering, Chulalongkorn University",Thailand
5350,Ratchadaphisek Sompot Endowment Fund,Thailand
5351,Chulalongkorn University Ratchadapiseksompotch Fund,Thailand
5352,Chulalongkorn University and Center of Excellence on Petrochemical and Material Technology,Thailand
5353,Toray Science Foundation,Japan
5357,Daiichi Sankyo and Sanofi,Japan
5358,Merck Biopharma,Germany
5359,Taiho,Japan
5362,NTSC,China
5369,Phranakhon Rajabhat University,Thailand
5372,Foreign Expert Funding of China,China
5373,Thailand NSRF,Thailand
5374,Emory's Laney Graduate School,United States
5375,Ratchadaphiseksomphot Matching Fund,Thailand
5377,VISTEC-depa Thailand Artificial Intelligence Research Institute,Thailand
5379,Thailand Science Research and Innovation Fund Chulalongkorn University CU_FRB65_ind,Thailand
5380,"Ministry of Higher Education, Science, Research and Innovation, Faculty of Science, Prince of Songkla University",Thailand
5381,Sittwe General Hospital,Myanmar
5382,Mitsubishi Materials Corporation,Japan
5383,Food & Health Foundation,United States
5386,KhonKaen campus,Thailand
5387,RMUTI,Thailand
5388,"Center of Excellence in Agricultural Innovation and Food Safety, Faculty of Science, Srinakharinwirot University",Thailand
5389,Chinese National Cancer Center,China
5391,information department of Hunan Cancer Hospital,China
5392,King Narai Hospital,Thailand
5394,Neil Shen’s SJTU Medical Research Fund,China
5395,SJTU-Yale,China
5396,"National Taipei University of Nursing and Health Science, Taiwan",Taiwan
5397,University of Taipei,Taiwan
5398,Wei-fang Medical University,China
5400,"Directorate General of Higher Education, Research, and Technology",Indonesia
5401,"Ministry of Education, Culture, Research, and Technology of The Republic of Indonesia",Indonesia
5403,Department of Science and Technology-National Research Foundation,Philippines
5410,"Department of Chemical Engineering, Faculty of Engineering, Chulalongkorn University, Thailand",Thailand
5411,Global Green Chemical Public Company Limited,Thailand
5415,"Applied Algal Research Laboratory, Chiang Mai University",Thailand
5419,"Ratchadapiseksompotch Fund Chulalongkorn University , Thailand",Thailand
5420,"Ratchadapiseksompotch Fund Chulalongkorn University, Thailand",Thailand
5421,Southern Sierra Critical Zone Observatory,United States
5422,Natural Science Foundation of Fujian Agriculture and Forestry,China
5425,"Antibody Engineering Laboratory, Faculty of Medicine Siriraj Hospital",Thailand
5427,"School of Science, King Mongkut’s Institute of Technology Ladkrabang",Thailand
5428,Thailand Science Research and Innovation Fund of Chulalongkorn University,Thailand
5430,"Department of Medicine, Phramongkutklao Hospital",Thailand
5431,Fatty Liver Fund,United States
5432,"Foundation of Faculty of Medicine, Chulalongkorn University",Thailand
5433,Phramongkutklao College of Medicine,Thailand
5434,King Chulalongkorn Memorial Hospital Microbiological Laboratory,Thailand
5435,NASA Land Cover Land Use Change,United States
5436,Maharat Nakhonratchasima Hospital,Thailand
5437,Royal College Physicians of Thailand,Thailand
5438,Surin Hospital,Thailand
5439,Thailand Science research and Innovation Fund Chulalongkorn University CU_FRB65_hea,Thailand
5444,"Angelini Pharmaceuticals, Horizon 2020",Italy
5446,Bavaria State Ministry,Germany
5447,German Parkinson Foundation,Germany
5448,German Research Ministry,Germany
5449,Jazz Pharma,Ireland
5450,Van Lang University,Vietnam
5454,International Program Manager Department of Clinical Epidemiology and Biostatistics Faculty of Medicine Ramathibodi Hospital Mahidol University,Thailand
5455,King Chu-lalongkorn Memorial Hospital,Thailand
5457,"Thai Pediatric Gastroenterology, Hepatology and Immunology",Thailand
5459,Division of Gastroenterology and Hepatology,United States
5460,Medical Council of Thailand,Thailand
5461,Ratchadaphiseksomphot Endowment Fund of liver fibrosis,Thailand
5463,Siriraj Diabetes Center,Thailand
5465,Nordforsk project Sureaqua,Norway
5468,"Office of Commission on Higher Education, Thailand Research Fund",Thailand
5469,"Zhongshan Ophthalmic Center, Sun Yat-sen University",China
5470,Consejo Nacional de Ciencia Tecnología,Mexico
5471,Consejo Nacional de Ciencia y Tecnolog?a,Mexico
5474,"Eastern Sea Laem Chabang Terminal Co., Ltd.",Thailand
5476,"Center of Excellence in Gastrointestinal Oncology, Chulalongkorn University",Thailand
5480,University of Oradea,Romania
5481,Navamindradhiraj University and Plasma Technology and Nuclear Fusion Research Unit,Thailand
5487,Bumrungrad International Hospital,Thailand
5488,National Cancer Institute of Thailand,Thailand
5489,"Department for Clinical Epidemiology and Biostatistics, Faculty of Medicine Ramathibodi Hospital",Thailand
5490,"Thailand Science and Research Innovation Bureau, Thailand Research Fund",Thailand
5491,Interreg Deutschland,Germany
5492,Interreg Deutschland-Denmark,Germany
5493,European Union's program Eurostar,Belgium
5496,AB-Biotics,Spain
5497,Angelini and Menarini,Italy
5498,Farmindustria,Italy
5499,Ferrer,Spain
5500,"Forest Research Institute, Galenica, Gedeon Richter",Hungary
