,funding_agency_name,Country
3817,Mahasarakham University and Center of Excellence for Innovation in Chemistry,Thailand
3818,Ministry of Higher Education and University of Malaya,Malaysia
3819,Fondecyt Program,Chile
3820,Polish National Science Center Grant Sonata Bis,Poland
3821,Foundation for Advancing Family Medicine,United States
3822,"Government of Catalonia, Spain",Spain
3823,O’Brien Institute for Public Health,Canada
3824,Pharmacokinetics Facility of Maha Chakri Sirindhorn Clinical Research Center,Thailand
3825,"4Chulalongkorn Business School, Chulalongkorn University",Thailand
3826,Digital Business Development of Jiangsu Province,China
3827,National Kaohsiung University of Science and Technology,Taiwan
3828,Wuxi Vocational Institute of Commerce,China
3829,Histocenter Thailand Co.,Thailand
3830,"Faculty of Veterinary Science, Prince of Songkla University",Thailand
3831,"Asia Pacific Parawood Co., Ltd.",Thailand
3832,"Nakhon Si Parawood Co., Ltd., of Nakhon Si Thammarat",Thailand
3833,Thailand Science Research and Innovation and Walailak University,Thailand
3834,Government of the People’s Republic of Bangladesh,Bangladesh
3835,Ministry of Science and Technology of Royal Thai government,Thailand
3836,Thammasat Postdoctorla Fellowship,Thailand
3837,French Society of Otorhinolaryngology,France
3838,China-Pakistan Joint Research Center on Earth Sciences,China
3839,IEECAS,China
3840,Vinayaka Mission's Research Foundation,India
3841,National Research Center for Protozoan Diseases,Japan
3842,Pilot Plant Development and Training Institute,India
3843,"Department of Medicine, Chaophya Abhaibhubejhr Hospital",Thailand
3844,National Research Council of Thailand and Heath Systems Research Institute,Thailand
3845,Thailand Science Research and Innovation Fund Chulalongkorn Univeristy,Thailand
3846,Rajamangala University of Technology Krungthep,Thailand
3847,"Shanghai University of Traditional Chinese Medicine, Shanghai, China",China
3848,St. Luke's International University,Japan
3849,National Research Council of Thailand and Graduate School,Thailand
3850,Chulalongkorn University Drug and Health Products Innovation & Promotion Center,Thailand
3851,Hitachi Fund Support for Research Related to Infectious Diseases,Japan
3852,Kurita Asia Research,Japan
3853,Phuket Provincial Public Health Office,Thailand
3854,Canadian Critical Care Society,Canada
3855,"National Vaccine Institute, Thailand and Baiya Phytopharm Co.",Thailand
3856,"Commission of Higher Education, Ministry of Higher Education, Science, Research and Innovation",Thailand
3857,TU-NSTDA,Thailand
3858,TU‐NSTDA Excellent Research,Thailand
3859,Thammasat University Research Unit in Carbon Materials and Green Chemistry Innovations,Thailand
3860,fundamental research fund,United Arab Emirates
3861,Magnolia Quality Development Corporation Limited,Thailand
3862,"Nazarbayev University, Kazakhstan",Kazakhstan
3863,"Department of Environment and Geography, University of York",United Kingdom
3864,BJC Big C Foundation,Thailand
3865,MK Restaurant Group and Aunt Thongkam Foundation,Thailand
3866,"Thailand Science Research and Innovation Fund Chulalongkorn University , Thailand",Thailand
3867,Chulalongkorn University for the Center of Excellence in Natural Products for Ageing and Chronic Diseases,Thailand
3868,Glaxo-Smith-Kline,United Kingdom
3869,Department of Medical Services,Thailand
3870,Ministry of Public Health Bangkok,Thailand
3871,University of Science and Technology Liaoning Talent Project,China
3872,Ratchadapisek Somphot Fund for Center of Excellence in Artificial Intelligence,Thailand
3873,King Mongkut's University of Technology North Bangkok,Thailand
3874,National Recovery and Resilience Plan of the Republic of Bulgaria,Bulgaria
3875,Council of Higher Education 100/2000,Turkey
3876,"Thailand Science, Research and Innovation and Timber Engineering of Krabi Co., Ltd.",Thailand
3877,Human Genome Center,United States
3878,Kaohsiung Medical University Research Foundation,Taiwan
3879,Thiruvalluvar University,India
3880,100-year-old Chulalongkorn University,Thailand
3881,Hubei Natural Science Foundation Innovation and Development,China
3882,Japanese Orthodontic Society,Japan
3883,"Chulalongkorn University, Faculty of Dentistry, Chulalongkorn University",Thailand
3884,KasikornBank Public Company Limited,Thailand
3885,JST,Japan
3886,Light Metal Educational Foundation,United States
3887,Osaka University,Japan
3888,National Blood Center in Bangkok,Thailand
3889,Bangchak Corporation Public Company Limited,Thailand
3890,CNS-Ipicyt,Mexico
3891,CONACYT network of national laboratories,Mexico
3892,FONDEQUIP,Chile
3893,Faculty of Engineering at Kamphaeng Saen,Thailand
3894,"Faculty of Pharmacy, Ton Duc Thang University",Vietnam
3895,Mahidol University−Frontier Research Facility,Thailand
3896,Center of Excellence in Regenerative Dentistry,United States
3897,"UTM-PROTON Future Drive Laboratory, Universiti Teknologi Malaysia",Malaysia
3898,"Thailand Science, Research, and Innovation Fund Chulalongkorn University",Thailand
3899,"Center of Excellence in Elephant and Wildlife Research, Chiang Mai University",Thailand
3900,Health Services Academy,Pakistan
3901,Ratchadaphiseksomphot Fund for the Center of Excellence in Intelligent Control Automation of Process Systems,Thailand
3902,"International Joint Laboratory of Estuarine and Coastal Research, Shanghai",China
3903,Commission on Life Sciences,United States
3904,Thai Institute for Animals for Scientific Purpose Development,Thailand
3905,U.S. Institute of Laboratory Animal Resources,United States
3906,Yanmar Environmental Sustainability Support Association,Japan
3907,Thailand Science Research and Innovative Fund Chulalongkorn University,Thailand
3908,"Ratchadaphiseksomphot Endowment Fund, Food and Economic Animals",Thailand
3909,"CM Clinical Trial Unit Faculty of Medicine, Chiang Mai University",Thailand
3910,Chakri Naruebodindra Medical Institute,Thailand
3911,"National Higher Education, Science, Research and Innovation Policy Council, Thailand",Thailand
3912,"Siriraj Institute of Clinical Research, Faculty of Medicine, Mahidol University",Thailand
3913,Thammasart University,Thailand
3914,"Department of Physiology, Faculty of Dentistry, Chulalongkorn University",Thailand
3915,Erasmus University Medical Center Rotterdam,Netherlands
3916,Nakornthon Hospital,Thailand
3917,Innovation Leadership Program in Sciences and Technologies of Ningxia,China
3918,Thammasat University Center of Excellence in Agriculture Innovation Center,Thailand
3919,American Academy of Neurology Clinical Research Training,United States
3920,CMKL University,Thailand
3921,Chulalongkorn university Grant for Development of New Faculty Staff and ratchadaphiseksomphot Endowment Fund and Science Engineering and research Board,Thailand
3922,Ministry of Natural resources and Environmental Conservation,Myanmar
3923,Mizoram Forest Department for research permission,India
3924,NMBA,Australia
3925,Stephen Mahony (university College Dublin,Ireland
3926,"Office of the Environment, Bangkok Metropolitan Administration",Thailand
3927,Food Allergy Science Initiative,United States
3928,Fund Chulalongkorn University,Thailand
3929,Northwest Territories,Canada
3930,Sunshine Charitable Foundation,Canada
3931,"Austrian Federal Ministry of Education, Science, and Research",Austria
3932,International Veterinary Vaccinology Networks,United Kingdom
3933,"Mae Chaem District, Chiang Mai Province",Thailand
3934,Thailand science Research and Innovation Fund Chulalongkorn University,Thailand
3935,Scientific Research and Innovation Team Program of Sichuan University of Science and Technology,China
3936,"Singapore Centre for Environmental Life Science Engineering , Nanyang Technological University Singapore",Singapore
3937,"Singapore Centre for Environmental Life Science Engineering, Nanyang Technological University Singapore",Singapore
3938,Eastern Economic Association conference,United States
3939,Puey Ungphakorn Institute for Economic Research,Thailand
3940,Royal Initiative of Her Royal Highness Princess Maha Chakri Sirindhorn—Chulalongkorn University,Thailand
3941,Research Foundation of the State of Bahia,Brazil
3942,A.P. Moeller Foundation,Denmark
3943,Department of Anaesthesia and Intensive Care at Copenhagen University Hospital,Denmark
3944,Ehrenreich Foundation,United States
3945,Frimodt-Heineke Foundation,Denmark
3946,Novo Nordisk Foundation,Denmark
3947,Olga Bryde Nielsen Foundation,Denmark
3948,Pfizer,United States
3949,Rigshospitalets Research Council,Denmark
3950,Sofus Friis’ Foundation,Denmark
3951,Svend Andersen Foundation,Denmark
3952,Toyota Foundation,Japan
3953,Foundation for Cancer Care Siriraj Hospital,Thailand
3954,Fundamental Scientific Research of the State Academies of Sciences,Russia
3955,Ban Khai District Public Health Office,Thailand
3956,Thammasat,Thailand
3957,Keio Leading-edge Laboratory of Science and Technology,Japan
3958,Keio University Academic Development Funds,Japan
3959,Groningen,Netherlands
3960,University of Groningen,Netherlands
3961,UCNRS,United States
3962,Institut Ilmu Kesehatan Bhakti Wiyata Kediri,Indonesia
3963,National Science & Technology Fundamental Resources Investigation Program of China,China
3964,Collaborative Research Fund,Hong Kong
3966,EqUIP,United Kingdom
3967,French Institute of Pondicherry,India
3968,Academic Research Fund,Singapore
3969,"Ratchadapiseksompotch Fund for Health Science, Chulalongkorn University",Thailand
3970,"Ratchadapiseksompotch Fund from Faculty of Medicine, Chulalongkorn University",Thailand
3971,"Division of Physical Science, Faculty of Science, Prince of Songkla University",Thailand
3972,Ministry of Education in Saudi Arabia,Saudi Arabia
3973,Royal Forest Department of Thailand,Thailand
3974,Centre of Excellence in Clinical Virology,United Kingdom
3975,"Department of Pediatrics and Center of Excellence for Pediatric Infectious Diseases and Vaccines, Faculty of Medicine, Chulalongkorn University",Thailand
3976,Royal College of Dental Surgeons of Thailand,Thailand
3977,Mektec Manufacturing Corporation,Japan
3978,U.K. Research and Innovation Medical Research Council,United Kingdom
3979,United Overseas Bank Endowment Fund,Singapore
3980,ARCS Foundation Oregon,United States
3981,Oregon State University,United States
3982,DGIST R&D program,South Korea
3983,Ministry of Science and ICT of Korea,South Korea
3984,National Research Foundation of Korea,South Korea
3985,"department of Materials Science, Faculty of Science, Chulalongkorn University and Learning Institute",Thailand
3986,Faculty of Dentistry Chulalongkorn Dental Research,Thailand
3987,CU-NSTDA,Thailand
3988,BSTFT-GoB,Bangladesh
3989,Bangladesh Agricultural Research Council,Bangladesh
3990,"Division of Sustainable Resources Engineering, Faculty of Engineering, Hokkaido University",Japan
3991,IACUC ARRI,United States
3992,Special Fund for Basic Scientific Research of Central Colleges,China
3993,"Research Department, Faculty of Medicine Siriraj Hospital, Mahidol University",Thailand
3994,"Research Institute for Health Sciences, Chiang Mai University",Thailand
3995,Voluntary Health Services,India
3996,Women and Children Hospital Kuala Lumpur,Malaysia
3997,Worldwide Orphans Foundation,United States
3998,Chulalongkorn University Hospital,Thailand
3999,UNSW Kirby Institute,Australia
4000,ViiV GSK,United Kingdom
4001,"Faculty of Pharmaceutical Science, Chulalongkorn University",Thailand
4002,Faculty of Tropical Medicine,Thailand
4003,"Thailand National Science, Research and Innovation Fund",Thailand
4004,Biotechnology & Biological Sciences Research Council of the United Kingdom,United Kingdom
4005,"Department of Microbiology and Immunology, Faculty of Tropical Medicine, Mahidol University",Thailand
4006,"Siriraj Grant for Research and Development, Faculty of Medicine Siriraj Hospital, Mahidol University",Thailand
4007,Saraburi Hospital,Thailand
4008,Korea Ministry of SMEs,South Korea
4009,Rajavithi Hospital,Thailand
4010,Kanchanaburi Inland Fisheries Research and Development Centre,Thailand
4011,Vajira Hospital,Thailand
4012,AstraZeneca,United Kingdom
4013,BMGF,United States
4014,GSK,United Kingdom
4015,GlaxoSmithKline Biologicals SA,Belgium
4016,MedImmune,United States
4017,Meissa Vaccines,United States
4018,Merck,Germany
4019,Sanofi Pasteur,France
4020,VBI Vaccines and Janssen,United States
4021,IRIDeS,Japan
4022,Cátedra EMALCSA-UDC,Spain
4023,IAI-CONICET,Argentina
4024,German Institute for Global and Area Studies,Germany
4025,Ubon Ratchathani University Thailand,Thailand
4026,Bangkok Thailand,Thailand
4027,Joint Graduate School of Energy and Environment,Thailand
4028,NPRU,Thailand
4029,JSPS Leading Initiative for Excellent Young Researchers,Japan
4030,"Shenzhen Science and Technology Innovation Committee in Shenzhen, China",China
4031,Institute of Cosmic Ray Research,Japan
4032,CTCRU,United Kingdom
4033,Canadian HIV Cure Enterprise,Canada
4034,U.S. Army Medical Component,United States
4035,U.S. Army or Department of Defense,United States
4036,Ophthalmology Clinic at King Chulalongkorn Memorial Hospital,Thailand
4037,"Department of Internal Medicine, Maharaj Nakhon Sri Thammarat Hospital",Thailand
4038,King Taksin Memorial Hospital,Thailand
4039,Tokyo Medical University,Japan
4040,"Agricultural Research Development Agency, Thailand",Thailand
4041,Newron Pharmaceuticals,Switzerland
4042,"National Research Council, Thailand Grand Challenge Fund",Thailand
4043,Helmholtz-Zentrum Hereon,Germany
4044,Klang Hospital,Malaysia
4045,Sirindhorn Hospital,Thailand
4046,Center for Tropical and Subtropical Aquaculture,United States
